,property_type,society,sector,price_cr,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,nearbyLoc_score,area_room_ratio
1204,flat,emaar mgf emerald estate,sector 65,1.73,12401.0,1395.0,Super Built up area 1395(129.6 sq.m.),3.0,3.0,3,9.0,North-West,Relatively New,1395.0,,,0.0,1.0,0.0,0.0,0.0,1.0,159.0,51.0,465.0
1205,flat,pareena coban residences,sector 99a,1.6,8000.0,2000.0,Super Built up area 2000(185.81 sq.m.),3.0,3.0,3,6.0,,Under Construction,2000.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,666.6666666666666
1206,flat,m3m woodshire,sector 107,1.29,8835.0,1460.0,Super Built up area 1943(180.51 sq.m.)Carpet area: 1460 sq.ft. (135.64 sq.m.),3.0,3.0,3+,1.0,East,Relatively New,1943.0,,1460.0,0.0,0.0,0.0,1.0,0.0,2.0,174.0,18.0,486.6666666666667
1207,flat,godrej frontier,sector 80,1.4,6189.0,2262.0,Super Built up area 2262(210.15 sq.m.)Built Up area: 1922 sq.ft. (178.56 sq.m.)Carpet area: 1634 sq.ft. (151.8 sq.m.),3.0,4.0,2,6.0,South,Moderately Old,2262.0,1922.0,1634.0,0.0,1.0,0.0,1.0,0.0,0.0,111.0,25.0,754.0
1208,flat,hsiidc sidco aravali,sector 1,0.86,3323.0,2588.0,Super Built up area 2588(240.43 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1877 sq.ft. (174.38 sq.m.),3.0,3.0,3+,3.0,South,Moderately Old,2588.0,1900.0,1877.0,0.0,1.0,0.0,0.0,0.0,0.0,81.0,25.0,862.6666666666666
1209,flat,godrej air,sector 85,1.75,9589.0,1825.0,Built Up area: 1825 (169.55 sq.m.),3.0,3.0,2,27.0,,Undefined,,1825.0,,0.0,0.0,0.0,0.0,0.0,0.0,44.0,49.0,608.3333333333334
1210,flat,ats kocoon,sector 109,1.65,10645.0,1550.0,Super Built up area 1745(162.12 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3.0,3.0,3,19.0,East,Relatively New,1745.0,1650.0,1550.0,0.0,0.0,1.0,0.0,0.0,2.0,159.0,55.0,516.6666666666666
1211,flat,dlf the ultima,sector 81,2.3,14375.0,1600.0,Super Built up area 2132(198.07 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3.0,4.0,3+,18.0,North-East,Relatively New,2132.0,,1600.0,0.0,1.0,0.0,0.0,0.0,2.0,174.0,50.0,533.3333333333334
1212,flat,godrej,sector 79,2.03,9046.0,2244.0,Super Built up area 2244(208.47 sq.m.),3.0,4.0,3+,7.0,South-East,Relatively New,2244.0,,,0.0,1.0,0.0,0.0,0.0,0.0,118.0,24.0,748.0
1213,flat,the close north,sector 50,2.7,9980.0,2705.0,Super Built up area 2605(242.01 sq.m.),3.0,3.0,3+,3.0,South,Moderately Old,2605.0,,,0.0,1.0,0.0,0.0,0.0,0.0,117.0,72.0,901.6666666666666
1214,flat,la vida by tata housing,sector 113,2.85,12855.0,2217.0,Super Built up area 2217(205.97 sq.m.),3.0,3.0,3+,10.0,East,New Property,2217.0,,,0.0,1.0,0.0,0.0,0.0,0.0,72.0,49.0,739.0
1215,flat,m3m golfestate,sector 65,5.0,16666.0,3000.0,Super Built up area 3246(301.56 sq.m.)Built Up area: 3245 sq.ft. (301.47 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),3.0,3.0,3,2.0,East,Relatively New,3246.0,3245.0,3000.0,0.0,1.0,0.0,0.0,0.0,2.0,174.0,64.0,1000.0
1216,flat,mapsko mount ville,sector 79,1.2,8053.0,1490.0,Super Built up area 1490(138.43 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3.0,3.0,3+,24.0,East,Relatively New,1490.0,,863.91,0.0,0.0,0.0,0.0,0.0,2.0,135.0,49.0,496.6666666666667
1217,flat,emaar gurgaon greens,sector 102,1.45,8787.0,1650.0,Super Built up area 1650(153.29 sq.m.),3.0,3.0,3,7.0,North-East,Relatively New,1650.0,,,0.0,1.0,0.0,0.0,0.0,0.0,159.0,57.0,550.0
1218,flat,chd avenue,sector 71,0.98,6049.0,1620.0,Super Built up area 1620(150.5 sq.m.),3.0,3.0,3,0.0,South-East,Moderately Old,1620.0,,,1.0,0.0,0.0,0.0,0.0,0.0,65.0,30.0,540.0
1219,flat,ambience creacions,sector 22,2.79,15000.0,1860.0,Super Built up area 1860(172.8 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3.0,3.0,3,13.0,East,New Property,1860.0,,1300.0,0.0,0.0,0.0,0.0,0.0,1.0,158.0,76.0,620.0
1220,flat,dlf park place,sector 54,5.75,24689.0,2329.0,Super Built up area 2329(216.37 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3.0,4.0,3,12.0,North-East,Relatively New,2329.0,1900.0,1700.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0,47.0,776.3333333333334
1221,flat,shree kirpalu gi sector 52,sector 52,1.45,7631.0,1900.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3.0,3.0,3+,7.0,West,Relatively New,1900.0,1800.0,1700.0,0.0,0.0,0.0,0.0,1.0,2.0,108.0,75.0,633.3333333333334
1222,flat,greenopolis,sector 89,1.3,6806.0,1910.0,Carpet area: 1910 (177.44 sq.m.),3.0,3.0,3+,1.0,South-West,New Property,,,1910.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,24.0,636.6666666666666
1223,flat,pareena coban residences,sector 99a,1.23,6159.0,1997.0,Super Built up area 1997(185.53 sq.m.),3.0,5.0,3,5.0,North-East,Relatively New,1997.0,,,0.0,1.0,0.0,0.0,0.0,0.0,99.0,78.0,665.6666666666666
